,codeCompagnie,NbrSinistre,typeIntermediaire,VolontaireAccidents,CountSinisterAdvr,naturePolice,Etat_Police,vehicule_id,assure_id,classeBonusMalus,CONTRAT_EN_COURS,puissanceFiscal,energie,etatVehicule,libUsage,identificationTiers,pourcentadeDeResponsabilite,porcentageCompagnieAdverse,natureDuSinistre,annee_dateOuvertureDuSinistre,Duree,Fraud,annee_effet_police,mois_effet_police,jour_effet_police,annee_date_Calcule,mois_date_Calcule,jour_date_Calcule,mois_dateOuvertureDuSinistre,jour_dateOuvertureDuSinistre,mois_dateEcheancePolice,jour_dateEcheancePolice
22229,9,1,3,1.0,1037,0,2,1086770,1062612,4,1,5,2,1,8,2,100,0,1,2018,5604,1,2005,7,29,2020,12,1,2,12,1,29
22230,9,1,1,1.0,1,0,2,1086944,1062713,5,1,7,2,1,8,2,0,0,1,2018,2539,0,2012,7,18,2019,7,1,2,28,7,18
22231,9,1,1,1.0,1,0,2,1087435,1062959,1,1,4,2,1,8,2,0,0,1,2018,4009,0,2008,9,9,2019,9,1,1,25,9,9
22232,9,1,1,1.0,1,0,2,1087775,457014,1,1,7,3,1,8,2,0,0,1,2018,697,0,2018,2,3,2020,1,1,2,15,2,3
22233,1,1,1,1.0,1,0,2,570296,539208,1,1,10,3,1,13,3,100,0,1,2017,2159,0,2015,1,3,2020,12,1,11,28,1,3
22234,1,1,1,1.0,1,0,0,570480,539367,7,1,4,2,1,8,3,100,0,1,2017,0,0,2017,1,3,2017,1,3,6,5,1,3
22235,1,1,1,1.0,1,0,2,1645097,539449,6,1,4,2,1,8,3,100,0,1,2017,1428,0,2017,1,3,2020,12,1,5,15,1,3
22236,1,1,3,1.0,1,0,2,73810,540144,4,1,5,2,1,8,3,100,0,1,2017,1427,0,2017,1,4,2020,12,1,8,7,1,4
22237,1,1,1,1.0,1,0,2,572599,541270,4,1,17,3,1,14,3,100,0,1,2017,3648,0,2008,1,6,2018,1,1,7,19,1,6
22238,1,2,1,2.0,1,0,2,572599,541270,4,1,17,3,1,14,3,100,0,1,2017,3648,1,2008,1,6,2018,1,1,12,18,1,6
22239,1,1,1,1.0,1,0,2,572950,541570,3,1,6,3,1,13,3,100,0,1,2017,1791,0,2016,1,6,2020,12,1,10,16,1,6
22240,1,1,1,0.0,1038,0,2,572979,395601,4,1,5,3,1,13,3,0,100,0,2017,726,1,2016,1,6,2018,1,1,3,22,1,6
22241,1,1,1,1.0,1,0,2,573028,541652,6,1,5,3,1,13,3,100,0,1,2017,0,0,2017,1,6,2017,1,6,12,4,1,6
22242,1,1,1,1.0,1,0,2,229452,541671,7,1,5,3,1,8,3,100,0,1,2017,360,0,2017,1,6,2018,1,1,2,14,1,6
22243,1,1,1,1.0,1,0,2,573415,542011,4,1,10,3,1,13,3,100,0,1,2017,4346,0,2009,1,7,2020,12,1,5,13,1,7
22244,1,1,1,0.0,1,0,2,927554,53008,5,1,7,2,1,8,3,100,0,0,2017,361,0,2016,1,12,2017,1,7,11,28,1,7
22245,1,1,1,1.0,1,0,2,573829,57174,6,1,26,3,1,14,3,100,0,1,2017,725,0,2016,1,7,2018,1,1,3,6,1,7
22246,1,1,1,1.0,1,0,2,573857,30430,2,1,5,2,1,8,3,100,0,1,2017,0,0,2017,1,7,2017,1,7,11,27,1,7
22247,1,1,1,1.0,1,0,2,573908,542439,6,1,4,2,1,8,3,100,0,1,2017,359,0,2017,1,7,2018,1,1,10,18,1,7
22248,1,1,1,1.0,1,0,2,170040,371804,2,1,10,3,1,13,3,100,0,1,2016,1454,0,2014,1,8,2018,1,1,11,14,1,8
22249,1,1,1,1.0,1,0,2,574746,543182,3,1,7,3,1,13,3,100,0,1,2017,731,0,2015,7,8,2017,7,8,2,6,7,8
22250,1,1,1,1.0,1,0,2,574831,543248,2,1,10,3,1,13,3,100,0,1,2017,2557,0,2010,1,9,2017,1,9,2,9,1,9
22251,1,1,1,0.0,1,0,2,574865,543276,3,1,10,3,1,13,3,100,0,0,2017,2549,0,2011,1,9,2018,1,1,11,21,1,9
22252,1,1,1,1.0,1,0,2,575026,543422,1,1,6,3,1,13,3,100,0,1,2017,2153,0,2015,1,9,2020,12,1,8,17,1,9
22253,1,1,1,1.0,1,0,0,1122944,1087013,4,1,4,2,1,8,3,100,0,1,2017,2922,0,2009,5,20,2017,5,20,1,9,5,20
22254,6,1,1,1.0,1,0,2,1044563,1025528,1,1,4,2,1,8,0,100,0,1,2017,2922,0,2009,10,3,2017,10,3,11,8,10,3
22255,6,1,1,1.0,1,0,2,1045407,1026499,8,1,4,2,1,8,0,50,50,1,2017,1522,0,2016,10,1,2020,12,1,10,18,1,1
22256,6,1,1,1.0,1,0,2,1045596,1026744,2,0,6,2,1,8,0,0,100,1,2017,2190,0,2013,7,2,2019,7,1,5,24,7,2
